t=2026-07-23T15:47:01+0300 lvl=info msg="no configuration paths supplied"
t=2026-07-23T15:47:01+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-23T15:47:01+0300 lvl=info msg="open config file" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-23T15:47:01+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-23T15:47:01+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-23T15:47:04+0300 lvl=info msg=start pg=/api/tunnels id=f52c7deff4336756
t=2026-07-23T15:47:04+0300 lvl=info msg=end pg=/api/tunnels id=f52c7deff4336756 status=200 dur=1.041ms
t=2026-07-23T15:47:06+0300 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": context deadline exceeded"
t=2026-07-23T15:47:12+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-23T15:47:12+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=01b09b352e4c l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=e7955e5ba9bb l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=2e7a557266a2 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=cbacd6af12b0 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=ee90adb7a656 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=668700acfe72 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=9516fc8f1161 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=c8180f3175a9 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=5a1f10122661 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:11+0300 lvl=info msg="join connections" obj=join id=69c727c533ce l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:13+0300 lvl=info msg="join connections" obj=join id=60385b59f9ee l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=9702deb375ed l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=f3a7f4be109d l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=4d50ac3840c6 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=98f52c7aae93 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=6d825fb727ef l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=0b3b1eb5a0ad l=127.0.0.1:8000 r=102.203.137.236:59844
